CHOPER,CHFLTN,CHOPERD,CHSTOL,CHPTOL,CHAORD,CHLOC1,CHLOC1D,CHLOC1TH,CHLOC1T,CHLOC1CH,CHLOCCT,CHTERM,CHCINT,CHCKZN,CHRMINE,CHRMINH
AA,8373,AMERICAN AIRLINES,2022-09-04T04:55:00,2022-09-04T04:48:00,A,LHR,LONDON - HEATHROW,לונדון,LONDON,בריטניה,UNITED KINGDOM,3,"","",FINAL,סופי
AM,7876,AERO MEXICO,2022-09-04T04:55:00,2022-09-04T04:48:00,A,LHR,LONDON - HEATHROW,לונדון,LONDON,בריטניה,UNITED KINGDOM,3,"","",FINAL,סופי
LY,318,EL AL ISRAEL AIRLINES,2022-09-04T04:55:00,2022-09-04T04:48:00,A,LHR,LONDON - HEATHROW,לונדון,LONDON,בריטניה,UNITED KINGDOM,3,"","",FINAL,סופי
AC,9021,AIR CANADA,2022-09-04T04:50:00,2022-09-04T04:50:00,D,FRA,FRANKFURT,פרנקפורט,FRANKFURT,גרמניה,GERMANY,3,27-33,A,ON TIME,בזמן
IZ,441,ARKIA  ISRAELI  AIRLINES,2022-09-04T04:50:00,2022-09-04T04:50:00,D,MUC,MUNICH,מינכן,MUNICH,גרמניה,GERMANY,3,12-15,A,ON TIME,בזמן
LH,691,LUFTHANSA,2022-09-04T04:50:00,2022-09-04T04:50:00,D,FRA,FRANKFURT,פרנקפורט,FRANKFURT,גרמניה,GERMANY,3,27-33,A,ON TIME,בזמן
LX,257,SWISS INT`L  AIRLINES,2022-09-04T04:50:00,2022-09-04T04:50:00,D,ZRH,ZURICH,ציריך,ZURICH,שוויץ,SWITZERLAND,3,27-33,A,ON TIME,בזמן
NH,5460,ALL NIPPON AIRWAYS,2022-09-04T04:50:00,2022-09-04T04:50:00,D,FRA,FRANKFURT,פרנקפורט,FRANKFURT,גרמניה,GERMANY,3,27-33,A,ON TIME,בזמן
SN,3294,BRUSSELS AIRLINES,2022-09-04T04:50:00,2022-09-04T04:50:00,D,BRU,BRUSSELS,בריסל,BRUSSELS,בלגיה,BELGIUM,3,38-40,B,ON TIME,בזמן
SN,7170,BRUSSELS AIRLINES,2022-09-04T04:50:00,2022-09-04T04:50:00,D,FRA,FRANKFURT,פרנקפורט,FRANKFURT,גרמניה,GERMANY,3,27-33,A,ON TIME,בזמן
TK,793,TURKISH AIRLINES,2022-09-04T04:50:00,2022-09-04T04:50:00,D,IST,ISTANBUL,איסטנבול,ISTANBUL,טורקיה,TURKEY,3,G1-G5,G,ON TIME,בזמן
UA,9121,UNITED AIRLINES,2022-09-04T04:50:00,2022-09-04T04:50:00,D,FRA,FRANKFURT,פרנקפורט,FRANKFURT,גרמניה,GERMANY,3,27-33,A,ON TIME,בזמן
LY,088,EL AL ISRAEL AIRLINES,2022-09-04T05:10:00,2022-09-04T04:54:00,A,HKT,PHUKET,פוקט,PHUKET,תאילנד,THAILAND,3,"","",FINAL,סופי
LY,311,EL AL ISRAEL AIRLINES,2022-09-04T05:00:00,2022-09-04T05:00:00,D,LTN,LUTON,לונדון לוטון,LONDON LUTON,בריטניה,UNITED KINGDOM,3,78-99,D,ON TIME,בזמן
LO,152,LOT POLISH AIRLINES,2022-09-04T05:05:00,2022-09-04T05:05:00,D,WAW,WARSAW,ורשה,WARSAW,פולין,POLAND,3,40-42,B,ON TIME,בזמן
A3,929,AEGEAN  AIRLINES,2022-09-04T05:10:00,2022-09-04T05:10:00,D,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,56-58,C,ON TIME,בזמן
PC,786,PEGASUS AIRLINES,2022-09-04T05:10:00,2022-09-04T05:10:00,D,SAW,ISTANBUL-SABIHA GOKCHEN,איסטנבול,ISTANBUL,טורקיה,TURKEY,3,47-50,B,ON TIME,בזמן
